price;volume;time
3666.75;3103342;2024-01-04 15:11:25
3666.65;3104394;2024-01-04 15:11:26
3666.65;3104938;2024-01-04 15:11:27
3666.7;3105292;2024-01-04 15:11:28
3666.65;3105475;2024-01-04 15:11:29
3666.15;3106125;2024-01-04 15:11:30
3666.1;3106165;2024-01-04 15:11:31
3666.15;3106565;2024-01-04 15:11:32
3666.05;3106565;2024-01-04 15:11:32
3666;3106615;2024-01-04 15:11:33
3665.8;3106733;2024-01-04 15:11:34
3665.7;3106777;2024-01-04 15:11:35
3665.5;3106822;2024-01-04 15:11:36
3665.4;3106822;2024-01-04 15:11:36
3665.4;3106986;2024-01-04 15:11:37
3665.45;3107073;2024-01-04 15:11:38
3665.5;3107073;2024-01-04 15:11:38
3665.4;3107097;2024-01-04 15:11:39
3665.5;3107097;2024-01-04 15:11:39
3665.45;3107155;2024-01-04 15:11:40
3665.45;3107155;2024-01-04 15:11:40
3665.4;3107551;2024-01-04 15:11:41
3665.4;3107551;2024-01-04 15:11:41
3665.4;3107616;2024-01-04 15:11:42
3665.4;3107616;2024-01-04 15:11:42
3665.5;3107805;2024-01-04 15:11:43
3665.5;3107805;2024-01-04 15:11:43
3665.4;3107992;2024-01-04 15:11:44
3665.4;3107992;2024-01-04 15:11:44
3665.4;3108143;2024-01-04 15:11:45
3665.5;3108143;2024-01-04 15:11:45
3665.5;3108412;2024-01-04 15:11:46
3665.5;3108412;2024-01-04 15:11:46
3665.4;3108623;2024-01-04 15:11:47
3665.5;3108623;2024-01-04 15:11:47
3665.4;3108965;2024-01-04 15:11:48
3665.4;3108965;2024-01-04 15:11:48
3665.45;3109219;2024-01-04 15:11:50
3665.4;3109219;2024-01-04 15:11:50
3665.5;3113226;2024-01-04 15:11:51
3665.4;3113226;2024-01-04 15:11:51
3665.5;3113640;2024-01-04 15:11:52
3665.4;3113846;2024-01-04 15:11:52
3665.45;3113978;2024-01-04 15:11:52
3665.45;3114107;2024-01-04 15:11:54
3665.45;3114567;2024-01-04 15:11:55
3665.55;3115694;2024-01-04 15:11:56
3665.55;3116044;2024-01-04 15:11:57
3665.55;3116197;2024-01-04 15:11:58
3665.5;3116592;2024-01-04 15:11:59
3665.5;3116760;2024-01-04 15:12:00
3665.55;3116959;2024-01-04 15:12:01
3665.5;3117302;2024-01-04 15:12:02
3665.6;3117685;2024-01-04 15:12:03
3665.55;3117928;2024-01-04 15:12:04
3665.55;3118498;2024-01-04 15:12:05
3665.6;3118681;2024-01-04 15:12:05
3665.6;3119118;2024-01-04 15:12:07
3665.6;3119330;2024-01-04 15:12:07
3665.6;3119535;2024-01-04 15:12:09
3665.55;3119801;2024-01-04 15:12:10
3665.55;3120295;2024-01-04 15:12:11
3665.6;3120614;2024-01-04 15:12:12
3665.4;3121507;2024-01-04 15:12:13
3665.55;3121507;2024-01-04 15:12:13
3665.55;3121844;2024-01-04 15:12:14
3665.5;3121844;2024-01-04 15:12:14
3665.7;3122135;2024-01-04 15:12:15
3665.55;3122135;2024-01-04 15:12:15
3665.6;3122222;2024-01-04 15:12:16
3665.6;3122222;2024-01-04 15:12:16
3666;3122610;2024-01-04 15:12:17
3666;3122610;2024-01-04 15:12:17
3665.7;3122756;2024-01-04 15:12:18
3665.7;3122756;2024-01-04 15:12:18
3665.95;3122843;2024-01-04 15:12:19
3665.7;3122843;2024-01-04 15:12:19
3665.9;3122880;2024-01-04 15:12:20
3665.55;3122880;2024-01-04 15:12:20
3665.85;3123107;2024-01-04 15:12:21
3665.55;3123107;2024-01-04 15:12:21
3665.9;3123773;2024-01-04 15:12:22
3665.8;3123773;2024-01-04 15:12:22
3665.8;3123939;2024-01-04 15:12:23
3665.8;3123939;2024-01-04 15:12:23
3665.9;3124033;2024-01-04 15:12:25
3665.85;3124035;2024-01-04 15:12:26
3665.85;3124035;2024-01-04 15:12:26
3665.85;3124035;2024-01-04 15:12:26
3665.95;3124035;2024-01-04 15:12:26
3665.95;3124743;2024-01-04 15:12:28
3666.2;3125290;2024-01-04 15:12:29
3666.35;3125787;2024-01-04 15:12:30
3666.4;3125787;2024-01-04 15:12:30
3666.4;3125844;2024-01-04 15:12:31
3666.4;3125844;2024-01-04 15:12:31
3666.4;3126033;2024-01-04 15:12:32
3666.85;3126033;2024-01-04 15:12:32
3666.5;3127053;2024-01-04 15:12:33
3666.7;3127053;2024-01-04 15:12:33
3667.6;3127380;2024-01-04 15:12:34
3666.5;3127380;2024-01-04 15:12:34
3667.55;3127467;2024-01-04 15:12:35
3667.55;3127467;2024-01-04 15:12:35
3667.5;3127610;2024-01-04 15:12:36
3667.5;3127610;2024-01-04 15:12:36
3667.5;3127693;2024-01-04 15:12:36
3667.4;3127693;2024-01-04 15:12:36
3667.55;3128966;2024-01-04 15:12:38
3667.5;3128966;2024-01-04 15:12:38
3667.5;3129089;2024-01-04 15:12:39
3667.5;3129089;2024-01-04 15:12:39
3667.5;3129130;2024-01-04 15:12:40
